edad,genero,hijos,vivienda_propia,posee_auto,antiguedad_cliente,cantidad_polizas,cuotas_impagas,costo_mensual_total_seguro,suma_asegurada_total,prima_promedio,tiene_auto,tiene_hogar,tiene_vida,tiene_salud,cantidad_siniestros,monto_promedio_siniestros,dias_desde_ultimo_siniestro,ocupacion,estado_civil,adquirio,producto_objetivo,provincia
25,femenino,0,0,0,60,1.0,0,294741.0,23874021.0,294741.0,0,0,0,1,1,0,63,estudiante,casado,1,vida,Buenos Aires
65,femenino,1,1,0,2,2.0,1,357854.0,38992329.0,178927.0,0,1,0,1,0,0,999,jubilado,soltero,0,ninguno,Resto
65,masculino,0,0,0,75,2.0,0,317592.0,29080392.0,158796.0,1,0,0,1,2,0,367,jubilado,soltero,1,vida,Resto
18,masculino,0,0,0,4,3.0,1,596700.0,55271314.0,198900.0,0,1,1,1,0,0,999,desempleado,soltero,0,ninguno,Córdoba
21,masculino,0,1,0,6,1.0,0,100674.0,12181554.0,100674.0,1,0,0,0,0,0,999,estudiante,casado,1,hogar,Córdoba
51,femenino,0,1,0,8,1.0,3,221969.0,20865086.0,221969.0,1,0,0,0,0,0,999,empleado,soltero,0,ninguno,Resto
28,femenino,1,1,1,4,2.0,1,243572.0,19565098.0,121786.0,1,0,0,1,0,0,999,empleado,divorciado,0,ninguno,Buenos Aires
30,masculino,0,1,1,49,1.0,0,281468.0,36872308.0,281468.0,0,0,0,1,0,0,999,desempleado,soltero,1,auto,Córdoba
52,femenino,2,0,0,5,1.0,1,322127.0,23193144.0,322127.0,0,0,1,0,0,0,999,autónomo,viudo,0,ninguno,Entre Ríos
31,masculino,3,1,0,86,1.0,0,141843.0,16737474.0,141843.0,0,0,0,1,0,0,999,empleado,casado,1,hogar,Resto
45,femenino,2,1,0,67,2.0,0,353717.0,42068587.0,176858.5,1,0,0,1,0,0,999,empleado,divorciado,1,hogar,Santa Fe
46,femenino,1,1,1,7,1.0,3,262440.0,31755240.0,262440.0,0,0,0,1,0,0,999,autónomo,casado,0,ninguno,Entre Ríos
29,femenino,1,0,1,5,2.0,1,322613.0,27689504.0,161306.5,1,1,0,0,1,0,314,empleado,divorciado,0,ninguno,Buenos Aires
33,masculino,0,0,0,48,2.0,0,400032.0,36197749.0,200016.0,0,1,0,1,0,0,999,empleado,soltero,1,vida,Mendoza
20,femenino,0,0,0,0,1.0,0,216228.0,13838592.0,216228.0,1,0,0,0,0,0,999,empleado,casado,1,salud,Tucumán
18,femenino,0,0,0,1,3.0,1,584909.0,48084153.0,194969.66666666663,1,0,1,1,0,0,999,desempleado,soltero,0,ninguno,Resto
28,femenino,1,1,1,4,2.0,1,243572.0,19565098.0,121786.0,1,0,0,1,0,0,999,empleado,divorciado,0,ninguno,Buenos Aires
33,masculino,0,0,1,4,3.0,1,378101.0,38609767.0,126033.66666666669,1,0,1,1,0,0,999,autónomo,casado,0,ninguno,Entre Ríos
33,masculino,0,0,0,95,1.0,0,252270.0,35065530.0,252270.0,1,0,0,0,0,0,999,empleado,casado,1,salud,Resto
65,masculino,1,1,0,113,1.0,0,292633.0,31311731.0,292633.0,1,0,0,0,0,0,999,jubilado,soltero,1,hogar,Buenos Aires
46,masculino,2,1,1,3,2.0,1,433248.0,49175881.0,216624.0,0,1,1,0,1,0,368,empresario,soltero,0,ninguno,Resto
28,femenino,3,1,1,1,1.0,1,222290.0,11559080.0,222290.0,0,0,1,0,0,0,999,desempleado,soltero,0,ninguno,Resto
41,femenino,2,1,0,1,1.0,1,209331.0,11094543.0,209331.0,0,0,1,0,0,0,999,empleado,casado,0,ninguno,Buenos Aires
24,masculino,0,1,1,48,1.0,0,173607.0,21874482.0,173607.0,0,1,0,0,0,0,999,empleado,casado,1,auto,Santa Fe
52,femenino,2,0,0,5,1.0,1,322127.0,23193144.0,322127.0,0,0,1,0,0,0,999,autónomo,viudo,0,ninguno,Entre Ríos
42,masculino,3,0,1,68,2.0,0,293731.0,29024584.0,146865.5,1,0,1,0,0,0,999,autónomo,casado,1,salud,Buenos Aires
21,femenino,1,1,0,12,2.0,0,352159.0,27630107.0,176079.5,1,0,0,1,1,833127,223,empleado,soltero,1,hogar,Mendoza
46,masculino,2,1,1,3,2.0,1,400596.0,28495308.0,200298.0,0,1,1,0,0,0,999,empresario,soltero,0,ninguno,Mendoza
33,masculino,0,0,1,4,3.0,1,378101.0,38609767.0,126033.66666666669,1,0,1,1,0,0,999,autónomo,casado,0,ninguno,Entre Ríos
32,femenino,2,0,0,1,2.0,1,349343.0,33800074.0,174671.5,0,0,1,1,0,0,999,autónomo,casado,0,ninguno,Mendoza
28,femenino,1,1,1,4,2.0,1,243572.0,19565098.0,121786.0,1,0,0,1,0,0,999,empleado,divorciado,0,ninguno,Buenos Aires
19,masculino,0,0,0,12,2.0,0,445075.0,41732166.0,222537.5,0,1,0,1,0,0,999,estudiante,soltero,1,vida,Santa Fe
32,femenino,2,0,0,1,2.0,1,349343.0,33800074.0,174671.5,0,0,1,1,0,0,999,autónomo,casado,0,ninguno,Mendoza
44,femenino,0,0,1,86,1.0,0,259729.0,18440759.0,259729.0,0,0,1,0,0,0,999,empleado,soltero,1,salud,Tucumán
32,femenino,2,0,0,1,2.0,1,349343.0,33800074.0,174671.5,0,0,1,1,0,0,999,autónomo,casado,0,ninguno,Mendoza
33,masculino,2,0,1,4,3.0,1,378101.0,38609767.0,126033.66666666669,1,0,1,1,0,0,999,empleado,casado,0,ninguno,Resto
34,masculino,0,1,1,53,1.0,0,164469.0,15460086.0,164469.0,0,0,0,1,0,0,999,autónomo,divorciado,1,auto,Buenos Aires
54,femenino,3,1,1,2,1.0,1,126046.0,11848324.0,126046.0,0,1,0,0,2,0,295,empleado,soltero,0,ninguno,Buenos Aires
54,femenino,1,1,1,1,1.0,1,218120.0,24865680.0,218120.0,0,0,0,1,1,0,710,empleado,casado,0,ninguno,Resto
30,femenino,2,0,0,5,2.0,1,315063.0,32080194.0,157531.5,1,0,0,1,0,0,999,desempleado,casado,0,ninguno,Mendoza
26,femenino,2,0,1,5,1.0,1,268151.0,14748305.0,268151.0,1,0,0,0,1,0,359,empleado,casado,0,ninguno,Mendoza
32,femenino,2,0,0,1,2.0,1,349343.0,33800074.0,174671.5,0,0,1,1,0,0,999,autónomo,casado,0,ninguno,Mendoza
52,femenino,2,0,0,5,1.0,1,322127.0,23193144.0,322127.0,0,0,1,0,0,0,999,autónomo,viudo,0,ninguno,Entre Ríos
40,masculino,1,1,1,1,1.0,1,310630.0,20501580.0,310630.0,0,1,0,0,0,0,999,empleado,soltero,0,ninguno,Buenos Aires
63,masculino,3,0,0,52,2.0,0,380920.0,52576778.0,190460.0,0,0,1,1,1,0,80,autónomo,casado,1,vida,Resto
24,masculino,0,0,0,48,1.0,0,269864.0,30224768.0,269864.0,0,0,0,1,0,0,999,empleado,casado,1,vida,Buenos Aires
67,femenino,3,1,1,79,2.0,0,594338.0,55862434.0,297169.0,0,0,1,1,0,0,999,jubilado,divorciado,1,hogar,Resto
28,femenino,0,1,1,1,1.0,1,222290.0,11559080.0,222290.0,0,0,1,0,0,0,999,empleado,soltero,0,ninguno,Resto
39,masculino,2,1,0,21,1.0,1,207319.0,11402545.0,207319.0,1,0,0,0,0,0,999,empleado,casado,1,hogar,Santa Fe
