persona_id,edad,genero,provincia,zona_urbana,nivel_educativo,preferencia_contacto,antiguedad_cliente,hijos,tamano_hogar,ocupacion,vivienda_propia,posee_auto,ingresos_mensuales,ahorro_mensual,deuda_tarjeta,cantidad_polizas,suma_asegurada_total,prima_promedio,cantidad_pagos,cuotas_cumplidas,cuotas_impagas,pagos_parciales,ratio_cuotas_cumplidas,monto_promedio_pago,cantidad_siniestros,monto_promedio_siniestro,dias_desde_ultimo_siniestro,tiene_auto,tiene_hogar,tiene_vida,tiene_salud,tiene_accidentes,tiene_mascotas,tiene_riesgos,costo_mensual_total_seguro,deuda_frac_ingreso,ahorro_frac_ingreso,producto_objetivo,adquirio
1,32,0,Santa Fe,1,universitario,whatsapp,1156,3,2,profesional,1,1,2294587.42,43873.1,690440.62,1,6628309.7,148794.09,24,7,11,6,0.292,5706.85,1,4981083.83,502,1,0,0,0,0,0,0,12399.51,0.301,0.019,Salud,0
2,61,0,Santa Fe,0,primario,telefono,666,1,4,empleado,0,0,340159.58,46836.35,35241.35,2,4116765.94,53617.1,24,22,0,2,0.917,4286.55,0,0.0,9999,0,0,1,0,0,0,1,8936.18,0.104,0.138,Ninguno,0
3,64,1,Misiones,1,terciario,telefono,817,0,1,comerciante,1,0,1111370.8,0.0,137399.98,1,1811029.8,70341.95,24,7,12,5,0.292,2275.56,0,0.0,9999,0,0,0,0,0,0,1,5861.83,0.124,0.0,Salud,1
4,46,0,San Luis,0,terciario,email,1358,2,1,empleado,1,0,1293403.73,0.0,156506.95,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,0,0,0,0,0.0,0.121,0.0,Salud,1
5,36,1,Santa Fe,0,terciario,email,601,2,3,autonomo,0,1,1143403.3,152591.46,72047.7,1,4691357.0,205811.4,19,14,0,5,0.737,15145.26,1,3519992.51,295,1,0,0,0,0,0,0,17150.95,0.063,0.133,Hogar,0
6,77,0,Neuquen,0,terciario,whatsapp,1059,3,1,jubilado,1,0,459331.03,52065.7,29859.9,1,9322102.24,199593.67,24,21,0,3,0.875,15567.17,1,1071809.05,578,1,0,0,0,0,0,0,16632.81,0.065,0.113,Hogar,1
7,40,1,San Luis,1,universitario,whatsapp,465,0,4,profesional,1,1,2674747.22,105733.65,390078.47,1,4661270.52,174227.29,12,4,4,4,0.333,7442.82,2,1941973.35,83,1,0,0,0,0,0,0,14518.94,0.146,0.04,Riesgos,0
8,28,0,San Luis,1,universitario,whatsapp,2020,0,1,profesional,1,1,1382358.06,132248.64,279783.74,1,3528297.63,189715.62,24,22,0,2,0.917,15158.99,0,0.0,9999,1,0,0,0,0,0,0,15809.64,0.202,0.096,Hogar,1
9,65,0,Corrientes,1,secundario,telefono,2149,1,2,jubilado,1,1,770554.16,10346.89,101613.94,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,0,0,0,0,0.0,0.132,0.013,Hogar,1
10,78,1,La Pampa,1,secundario,telefono,1967,0,2,jubilado,1,1,360403.05,37596.65,60946.85,2,5757646.8,117100.34,48,38,1,9,0.792,9077.83,3,1933650.75,1630,1,1,0,0,0,0,0,19516.72,0.169,0.104,Salud,0
11,27,1,Buenos Aires,1,primario,email,431,0,3,autonomo,1,1,912702.74,0.0,252825.46,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,0,0,0,0,0.0,0.277,0.0,Salud,0
12,80,0,Mendoza,1,terciario,whatsapp,807,1,2,jubilado,1,1,466454.28,46858.42,63278.42,1,3235969.99,111435.39,24,22,0,2,0.917,8901.86,0,0.0,9999,0,1,0,0,0,0,0,9286.28,0.136,0.1,Ninguno,0
13,69,1,Salta,1,secundario,whatsapp,1038,2,3,jubilado,1,1,399026.34,51773.95,63443.88,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,0,0,0,0,0.0,0.159,0.13,Salud,0
14,51,0,Rio Negro,1,secundario,telefono,1459,1,1,empleado,1,0,854248.34,90139.79,85899.83,1,5146787.4,175052.37,24,21,0,3,0.875,13821.92,0,0.0,9999,1,0,0,0,0,0,0,14587.7,0.101,0.106,Hogar,1
15,51,0,Misiones,1,secundario,email,468,0,3,empleado,1,1,975400.49,14588.42,284511.7,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,0,0,0,0,0.0,0.292,0.015,Hogar,1
16,51,0,Neuquen,0,primario,whatsapp,1839,0,3,autonomo,1,0,903950.82,121765.3,129576.76,1,8498914.75,194780.09,24,22,0,2,0.917,15785.77,0,0.0,9999,1,0,0,0,0,0,0,16231.67,0.143,0.135,Mascotas,1
17,31,1,Salta,0,secundario,telefono,1694,3,1,desempleado,0,0,66734.54,13558.5,7535.61,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,0,0,0,0,0.0,0.113,0.203,Mascotas,0
18,31,1,San Luis,1,universitario,telefono,188,2,5,empleado,0,1,496768.46,15135.22,0.0,1,5878267.22,152376.83,1,1,0,0,1.0,12592.28,2,3665592.59,2,1,0,0,0,0,0,0,12698.07,0.0,0.03,Salud,0
19,21,0,Cordoba,1,primario,email,1099,0,2,desempleado,1,1,63419.66,10492.69,0.0,1,1565764.36,38341.74,24,24,0,0,1.0,3189.78,0,0.0,9999,1,0,0,0,0,0,0,3195.14,0.0,0.165,Hogar,1
20,43,1,CABA,0,secundario,telefono,1796,2,1,desempleado,0,1,57700.28,446.26,13520.73,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,0,0,0,0,0.0,0.234,0.008,Vida,0
21,56,0,Mendoza,1,secundario,telefono,31,0,2,empleado,1,1,1048988.13,18628.39,62280.09,1,5583875.23,179412.73,1,0,0,1,0.0,6123.87,1,859932.99,-207,1,0,0,0,0,0,0,14951.06,0.059,0.018,Salud,0
22,48,0,Santa Fe,0,primario,telefono,1301,0,3,empleado,1,1,643016.73,111244.45,0.0,3,12985150.56,144022.95,72,65,0,7,0.903,11546.75,1,581385.19,745,1,1,0,1,0,0,0,36005.74,0.0,0.173,Ninguno,0
23,72,0,La Pampa,0,primario,whatsapp,750,0,5,jubilado,0,0,429270.1,31708.1,0.0,2,8823442.98,131010.46,42,32,0,10,0.762,10372.28,0,0.0,9999,1,0,0,1,0,0,0,21835.08,0.0,0.074,Mascotas,1
24,38,1,Mendoza,0,terciario,whatsapp,1873,0,3,profesional,1,1,2857791.95,314373.94,422181.53,3,13439126.47,117194.94,72,59,0,13,0.819,9079.65,1,2045880.0,1535,1,1,0,1,0,0,0,29298.74,0.148,0.11,Riesgos,1
25,37,0,CABA,1,secundario,whatsapp,906,1,3,empleado,1,1,557819.29,53073.48,50260.17,2,9658830.56,120412.52,44,34,0,10,0.773,9416.09,1,919278.29,679,1,0,0,1,0,0,0,20068.75,0.09,0.095,Hogar,1
