edad,genero,provincia,nivel_educativo,ocupacion,hijos,vivienda_propia,posee_auto,antiguedad_cliente,cantidad_polizas,cantidad_pagos,cuotas_cumplidas,cuotas_impagas,pagos_parciales,ratio_cuotas_cumplidas,monto_promedio_pago,cantidad_siniestros,monto_promedio_siniestro,dias_desde_ultimo_siniestro,tiene_auto,tiene_hogar,tiene_vida,tiene_salud,costo_mensual_total_seguro,suma_asegurada_total,prima_promedio,adquirio,producto_objetivo
38,femenino,Misiones,primario,empleado,1,0,0,74,2,8,3,0,0,0.38,6384,0,0,999,0,0,1,0,0,4789991,5947,1,hogar
22,femenino,Jujuy,primario,desocupado,3,1,1,97,2,16,5,0,0,0.31,28102,0,0,999,0,1,0,1,4924,4033654,4924,0,ninguno
30,femenino,San Luis,secundario,empleado,0,1,1,65,2,6,5,0,0,0.83,48032,0,0,999,0,1,1,0,10320,1153668,10320,1,salud
37,femenino,Neuquén,terciario,autonomo,0,0,0,44,3,19,16,0,0,0.84,17258,0,0,999,1,0,0,0,0,679830,2038,1,salud
52,masculino,Entre Ríos,universitario,empleado,3,0,1,89,2,23,13,0,0,0.57,16969,0,0,999,1,0,0,1,11582,1860828,11582,1,vida
49,masculino,Chaco,universitario,autonomo,3,1,1,56,0,13,2,0,0,0.15,45133,1,65414,377,1,0,0,1,6344,3345653,6344,1,vida
63,femenino,Córdoba,universitario,autonomo,0,0,1,79,0,23,11,0,0,0.48,35806,0,0,999,0,0,0,1,3368,3399529,3368,1,vida
58,masculino,Chubut,secundario,profesional,3,0,0,19,0,23,4,19,0,0.17,30766,1,41230,258,0,0,0,1,2774,3206171,2774,0,ninguno
49,masculino,La Pampa,universitario,desocupado,1,1,0,14,1,19,19,0,0,1.0,13244,1,66101,39,0,0,0,0,4307,1779180,4307,0,ninguno
37,masculino,Tucumán,secundario,autonomo,0,1,0,47,2,6,1,0,0,0.17,29509,0,0,999,0,0,1,1,13599,719162,13599,1,hogar
27,femenino,Misiones,primario,autonomo,2,1,1,84,3,23,12,0,0,0.52,24563,0,0,999,1,1,0,1,23604,2386522,23604,1,vida
50,femenino,La Rioja,terciario,profesional,0,0,0,103,3,15,8,0,0,0.53,24642,0,0,999,0,0,1,1,12321,1556504,12321,1,auto
37,femenino,La Pampa,secundario,autonomo,3,0,1,55,0,18,1,0,0,0.06,8084,0,0,999,1,0,1,1,10924,2860901,10924,1,hogar
31,femenino,Salta,secundario,empleado,3,0,0,55,0,20,4,0,0,0.2,46598,1,171623,361,0,0,1,0,0,526296,2104,1,salud
62,femenino,Santa Cruz,universitario,profesional,2,0,1,78,2,14,10,0,0,0.71,18947,1,136219,796,1,0,1,1,14970,3177747,14970,1,hogar
24,femenino,Mendoza,terciario,autonomo,0,1,0,55,3,9,7,0,0,0.78,22637,0,0,999,0,0,0,0,5209,2253702,5209,1,vida
43,femenino,Chaco,universitario,empleado,1,0,0,65,3,21,14,7,0,0.67,48111,0,0,999,0,0,1,0,11732,1415113,11732,0,ninguno
53,femenino,La Pampa,primario,autonomo,1,1,1,105,1,22,7,0,0,0.32,12056,0,0,999,1,1,1,0,13488,4839610,13488,1,salud
26,femenino,Salta,terciario,desocupado,1,0,1,18,1,19,7,0,0,0.37,32920,2,134780,51,0,0,1,1,10356,4163175,10356,0,ninguno
54,femenino,Santa Fe,terciario,autonomo,3,0,0,24,2,11,1,0,0,0.09,46427,2,142883,856,0,0,1,1,7935,2466197,7935,0,ninguno
49,femenino,Entre Ríos,primario,empleado,2,1,1,95,0,13,3,10,1,0.23,43881,0,0,999,0,1,0,0,4612,1420200,4612,0,ninguno
42,femenino,Santiago del Estero,terciario,empleado,0,1,0,76,2,20,7,0,0,0.35,25299,0,0,999,0,0,1,0,5323,1338537,5323,1,salud
63,masculino,Jujuy,universitario,profesional,3,1,1,49,1,8,1,0,0,0.12,16049,0,0,999,1,1,1,0,25088,724062,25088,1,salud
51,masculino,San Luis,terciario,autonomo,2,1,1,31,1,22,4,18,0,0.18,6316,0,0,999,1,1,1,1,34575,3584266,34575,0,ninguno
21,femenino,Entre Ríos,secundario,empleado,0,1,0,39,1,11,0,11,0,0.0,27852,0,0,999,0,0,1,1,10653,694152,10653,0,ninguno
24,masculino,Santa Cruz,primario,autonomo,0,1,1,6,1,18,18,0,0,1.0,15918,2,86786,672,1,0,1,0,12726,4776977,12726,0,ninguno
57,femenino,Misiones,secundario,empleado,0,0,0,9,2,21,6,0,0,0.29,10801,1,49592,417,0,0,0,1,5048,4542787,5048,0,ninguno
56,masculino,San Juan,secundario,desocupado,3,1,0,73,3,17,8,0,0,0.47,41499,0,0,999,0,1,0,0,5875,4251459,5875,0,ninguno
62,masculino,Santa Fe,secundario,empleado,2,0,0,46,3,10,3,0,0,0.3,43889,0,0,999,0,0,1,1,19227,1571984,19227,1,auto
39,masculino,Catamarca,terciario,autonomo,3,1,0,30,3,9,1,0,0,0.11,17857,0,0,999,0,0,1,0,7609,4805457,7609,1,hogar
55,masculino,Santa Cruz,secundario,profesional,2,0,1,98,2,19,4,0,0,0.21,49605,1,59121,599,1,0,0,0,4349,4499453,4349,1,vida
59,femenino,Jujuy,secundario,autonomo,0,0,1,87,2,17,2,0,0,0.12,21473,0,0,999,1,0,0,0,0,1394030,6703,1,salud
50,femenino,Misiones,secundario,desocupado,3,1,1,39,1,10,6,0,0,0.6,8267,0,0,999,0,1,1,0,20784,1248736,20784,0,ninguno
21,masculino,Salta,secundario,autonomo,0,0,1,56,1,6,6,0,0,1.0,46382,0,0,999,0,0,1,1,18981,3212510,18981,1,hogar
23,masculino,San Juan,secundario,desocupado,1,0,0,32,2,15,2,0,0,0.13,19079,0,0,999,0,0,1,0,14592,4572250,14592,0,ninguno
53,masculino,La Rioja,secundario,empleado,1,0,0,101,2,20,7,0,0,0.35,18395,1,36715,387,0,0,1,0,9404,1872070,9404,1,salud
