
persona_id,edad,genero,preferencia_contacto,antiguedad_cliente,hijos,ocupacion,ingresos_mensuales,cantidad_polizas,suma_asegurada_total,prima_promedio,cantidad_pagos,cuotas_cumplidas,cuotas_impagas,pagos_parciales,ratio_cuotas_cumplidas,monto_promedio_pago,cantidad_siniestros,monto_promedio_siniestro,dias_desde_ultimo_siniestro,tiene_auto,tiene_hogar,tiene_vida,tiene_salud,tiene_accidentes,tiene_mascotas,tiene_riesgos,producto_objetivo,adquirio
1,43,1,0,1.91,0,5,45126,1,264000,10516.0,5,4,0,1,0.8,946.89,1,100141.0,112,0,0,1,0,0,0,0,4,1
2,48,0,1,4.93,0,1,236486,3,1352000,10973.0,82,68,9,5,0.83,957.17,3,169196.33,615,0,1,1,1,0,0,0,1,1
3,28,0,0,0.67,6,4,115872,2,1350000,15819.5,38,26,10,2,0.68,1262.03,1,242530.0,223,0,0,0,1,0,0,0,3,0
4,49,1,1,0.79,0,3,21742,2,704000,8990.5,13,9,1,3,0.69,809.8,1,173373.0,14,0,1,1,0,0,0,0,4,0
5,28,0,0,4.41,2,4,109163,1,372000,14676.0,25,16,4,5,0.64,1218.99,0,0.0,-1,0,0,1,0,0,0,0,5,0
6,25,0,0,2.0,0,2,473430,3,550000,10767.0,52,39,4,9,0.75,789.64,1,167336.0,349,1,0,1,1,0,0,0,5,1
7,70,0,1,4.02,3,4,135059,1,270000,10030.0,33,28,4,1,0.85,818.69,0,0.0,-1,1,0,0,0,0,0,0,6,1
8,59,1,1,1.42,2,1,211839,2,534000,8769.5,28,23,1,4,0.82,815.22,0,0.0,-1,1,1,0,0,0,0,0,3,0
9,61,1,0,0.39,0,1,257408,1,260000,10899.0,13,10,2,1,0.77,916.55,2,110940.5,316,1,0,0,0,0,0,0,6,1
10,65,0,0,2.62,1,1,246554,2,484000,8509.0,26,19,3,4,0.73,703.55,3,115112.67,160,0,1,0,0,1,0,0,3,1
11,33,0,1,1.22,1,4,126051,2,527000,12730.5,74,62,6,6,0.84,1084.58,5,66918.6,439,0,1,0,0,0,0,1,5,1
12,69,0,0,3.04,2,1,173096,1,290000,7561.0,19,16,1,2,0.84,611.14,0,0.0,-1,1,0,0,0,0,0,0,7,0
13,39,1,1,2.95,0,2,203478,1,288000,8869.0,13,9,2,2,0.69,772.17,0,0.0,-1,0,1,0,0,0,0,0,5,1
14,67,1,0,3.96,0,2,533618,1,120000,8587.0,25,23,2,0,0.92,671.17,0,0.0,-1,1,0,0,0,0,0,0,2,0
15,52,0,0,1.79,4,4,189288,1,250000,9422.0,25,22,1,2,0.88,840.15,0,0.0,-1,1,0,0,0,0,0,0,2,1
16,50,1,0,2.16,1,1,84743,1,576000,12456.0,10,8,1,1,0.8,1025.44,3,250548.67,41,0,0,1,0,0,0,0,4,0
17,53,1,0,3.37,2,2,260188,2,635000,9861.0,41,34,3,4,0.83,910.28,1,40690.0,754,0,0,0,1,0,1,0,3,0
18,63,1,1,2.46,1,1,105097,1,112000,6928.0,9,7,2,0,0.78,619.39,0,0.0,-1,0,1,0,0,0,0,0,3,0
19,30,1,1,4.44,1,1,210766,2,624000,7941.0,26,25,0,1,0.96,679.26,1,256969.0,920,1,1,0,0,0,0,0,3,1
20,58,1,0,1.05,1,1,303659,2,600000,10625.5,38,31,5,2,0.82,935.53,1,114408.0,574,1,0,0,1,0,0,0,3,0
21,32,1,1,0.41,2,1,311347,2,540000,12842.5,31,28,1,2,0.9,1087.33,5,105319.0,363,1,0,0,0,0,0,0,2,1
22,66,1,0,3.58,0,1,279123,3,1060000,10481.33,63,52,5,6,0.83,910.44,3,202092.67,679,1,1,0,1,0,0,0,3,0
23,55,0,0,2.88,1,1,167201,3,624000,7453.67,63,52,4,7,0.83,548.17,6,67497.0,207,0,1,0,0,0,0,0,3,1
24,50,1,0,3.56,0,1,348763,3,550000,7513.67,75,57,11,7,0.76,644.86,3,35412.67,1096,1,1,0,0,1,0,0,3,1
25,67,0,1,3.78,5,2,448469,1,500000,8635.0,16,15,1,0,0.94,704.08,0,0.0,-1,1,0,0,0,0,0,0,5,0
26,56,0,1,0.84,1,1,330674,1,380000,9447.0,25,20,2,3,0.8,852.31,1,145678.0,465,1,0,0,0,0,0,0,3,1
27,25,0,0,4.38,0,5,105319,1,110000,8495.0,13,12,1,0,0.92,722.85,1,9093.0,318,1,0,0,0,0,0,0,5,0
28,37,1,1,2.72,0,5,48568,1,250000,8040.0,37,34,1,2,0.92,666.94,1,63330.0,1359,1,0,0,0,0,0,0,2,0
29,36,0,1,2.2,1,1,285702,1,210000,11725.0,37,31,2,4,0.84,962.97,0,0.0,-1,1,0,0,0,0,0,0,2,1
30,40,1,0,2.16,2,2,543583,1,192000,8083.0,4,3,0,1,0.75,678.2,0,0.0,-1,0,1,0,0,0,0,0,6,1
31,31,0,1,4.62,0,1,143191,2,947000,11854.0,74,62,3,9,0.84,1012.31,1,332861.0,1335,0,1,0,1,0,0,0,3,1
32,46,0,0,0.17,0,5,80779,2,563000,6358.0,46,38,6,2,0.83,522.92,3,107340.67,75,0,1,0,0,0,1,0,7,1
33,57,1,0,0.57,2,1,330132,3,939000,11643.0,49,42,4,3,0.86,938.99,0,0.0,-1,1,1,0,1,0,0,0,3,1
34,26,1,1,4.91,1,3,30183,3,1245000,10754.0,43,31,6,6,0.72,955.99,1,23409.0,1099,1,1,0,1,0,0,0,3,1
35,29,1,0,3.38,1,1,206191,2,740000,8888.0,26,20,2,4,0.77,716.15,5,139557.4,692,1,0,0,0,0,0,0,5,0
36,56,1,1,3.12,0,1,226836,3,920000,11182.67,36,31,4,1,0.86,921.4,2,128568.5,61,1,1,0,1,0,0,0,3,1
37,57,0,0,4.19,4,2,207909,3,758000,6966.33,28,19,4,5,0.68,541.09,3,42855.33,12,1,1,0,0,0,1,0,3,0
38,40,0,1,4.09,0,3,52167,2,742000,10869.5,61,48,8,5,0.79,913.18,2,305020.5,939,1,0,1,0,0,0,0,2,1
39,51,1,1,3.46,3,1,237098,2,600000,11578.5,45,35,6,4,0.78,1017.21,1,166297.0,183,1,0,0,0,0,0,0,2,1
40,65,1,1,1.73,3,3,21104,1,168000,7526.0,9,8,0,1,0.89,612.88,0,0.0,-1,0,1,0,0,0,0,0,5,0
41,47,1,0,4.29,1,4,160268,2,920000,11013.5,26,20,3,3,0.77,900.87,3,326291.67,40,1,0,1,0,0,0,0,2,1
42,44,1,1,4.24,0,3,29209,1,240000,8142.0,8,7,1,0,0.88,758.66,0,0.0,-1,1,0,0,0,0,0,0,2,1
43,47,1,1,1.68,1,1,295503,1,690000,12293.0,13,11,1,1,0.85,1075.57,0,0.0,-1,0,0,0,1,0,0,0,3,0
44,33,1,0,0.99,2,1,233946,2,705000,13000.5,50,39,6,5,0.78,1096.56,0,0.0,-1,0,0,1,1,0,0,0,5,1
45,25,0,1,2.16,2,2,342485,3,1360000,13006.33,35,25,7,3,0.71,1126.38,3,104748.67,7,1,0,0,1,0,0,0,3,1
46,50,1,0,0.55,1,2,177408,1,645000,16754.0,25,22,0,3,0.88,1369.53,3,273408.67,323,0,0,0,1,0,0,0,3,1
47,39,0,0,2.77,2,2,62787,3,798000,10404.33,99,77,8,14,0.78,833.81,2,92688.5,837,1,0,1,0,1,0,0,2,1
48,35,0,1,0.41,1,3,32356,2,784000,10709.0,26,21,3,2,0.81,883.63,2,297056.0,223,0,1,1,0,0,0,0,4,1
49,36,1,0,0.3,1,5,82560,2,1059000,11342.0,58,42,7,9,0.72,966.14,0,0.0,-1,0,0,1,1,0,0,0,6,1
50,23,0,1,1.59,0,1,80230,2,728000,8950.5,39,24,9,6,0.62,764.48,2,63183.5,782,1,0,1,0,0,0,0,5,1
51,25,1,1,2.75,0,2,66267,3,907000,10643.33,48,42,3,3,0.88,830.3,0,0.0,-1,1,1,0,1,0,0,0,3,1
52,39,1,1,2.96,3,1,254524,2,576000,8961.0,58,44,9,5,0.76,756.7,3,137276.33,475,0,1,0,0,0,0,0,1,0
53,45,1,0,3.76,2,2,87356,2,414000,7965.0,38,32,4,2,0.84,733.46,3,53326.67,233,1,1,0,0,0,0,0,3,1
54,28,0,1,4.93,2,1,101387,2,534000,8658.0,38,31,5,2,0.82,682.62,2,42267.5,349,1,1,0,0,0,0,0,3,1
55,69,1,1,1.07,0,1,219477,2,516000,10217.5,50,41,5,4,0.82,735.04,1,64020.0,344,1,1,0,0,0,0,0,3,0
56,40,0,1,4.28,2,1,110279,1,410000,7879.0,13,7,5,1,0.54,632.71,2,313016.0,85,1,0,0,0,0,0,0,4,1
57,54,1,0,4.42,2,1,322296,1,360000,10280.0,13,11,2,0,0.85,855.47,0,0.0,-1,1,0,0,0,0,0,0,2,1
58,27,1,1,2.9,0,4,142330,1,480000,12834.0,37,27,4,6,0.73,1062.57,1,334842.0,834,0,0,0,1,0,0,0,3,1
59,27,1,0,1.58,1,3,32096,1,200000,9763.0,25,22,1,2,0.88,828.54,0,0.0,-1,0,1,0,0,0,0,0,5,1
60,52,1,0,3.46,2,4,208279,2,670000,10748.0,47,40,4,3,0.85,872.41,0,0.0,-1,1,0,0,1,0,0,0,2,1
61,35,0,1,3.73,1,2,125477,3,1120000,9359.0,38,33,5,0,0.87,780.15,2,206806.5,65,1,0,0,0,0,0,0,2,1
62,68,1,1,0.22,2,2,651676,2,785000,12036.0,23,21,2,0,0.91,966.7,1,217988.0,207,0,0,1,0,0,0,1,4,0
63,44,0,1,3.31,2,1,103321,2,660000,11665.0,74,53,9,12,0.72,974.69,1,80208.0,1522,1,0,0,1,0,0,0,2,0
64,23,0,0,0.75,0,2,636300,2,650000,6605.0,32,30,1,1,0.94,491.23,1,25773.0,134,1,1,0,0,0,0,0,3,1
65,43,1,1,3.19,3,4,89267,1,360000,11518.0,25,22,3,0,0.88,954.35,1,49620.0,778,1,0,0,0,0,0,0,2,1
66,22,1,0,4.99,1,3,26134,3,1390000,13689.33,35,26,6,3,0.74,1082.24,2,76002.5,132,1,0,0,1,0,0,0,3,0
67,63,1,1,2.75,1,2,116216,1,120000,8550.0,4,4,0,0,1.0,659.36,0,0.0,-1,0,1,0,0,0,0,0,7,1
68,31,1,0,0.79,2,1,268721,3,676000,9622.33,43,36,4,3,0.84,798.04,2,98689.0,685,1,1,1,0,0,0,0,5,0
69,39,1,1,0.64,2,4,231731,3,1102000,10003.0,61,52,6,3,0.85,873.02,2,172523.0,102,0,1,1,0,1,0,0,4,0
70,61,0,0,4.14,0,1,283449,3,740000,14154.67,73,59,5,9,0.81,1055.36,0,0.0,-1,0,1,0,1,0,0,0,3,0
71,40,0,1,0.37,0,5,98236,1,336000,6783.0,34,27,2,5,0.79,570.84,1,121728.0,535,0,1,0,0,0,0,0,4,1
72,44,0,1,2.58,0,5,102525,1,180000,9258.0,4,4,0,0,1.0,712.14,2,101435.5,21,1,0,0,0,0,0,0,2,1
73,26,0,1,2.27,0,1,108060,1,340000,10132.0,25,22,2,1,0.88,820.83,1,173231.0,1206,1,0,0,0,0,0,0,5,1
74,30,1,0,3.98,0,5,80833,2,556000,7234.5,50,37,5,8,0.74,629.88,2,46049.5,267,0,1,0,0,1,0,0,4,1
75,62,0,1,0.12,1,3,55115,2,544000,10408.5,32,28,1,3,0.88,882.79,3,28981.33,205,1,1,0,0,0,0,0,3,1
76,65,0,1,1.14,1,2,173800,2,580000,8593.5,38,29,4,5,0.76,786.6,3,96233.0,1205,1,1,0,0,0,0,0,3,1
77,53,1,1,1.2,2,1,329393,1,210000,6874.0,13,11,2,0,0.85,595.42,1,40140.0,441,0,0,0,0,1,0,0,6,1
78,22,1,0,0.86,3,1,164576,1,465000,16350.0,13,7,3,3,0.54,1442.84,1,245624.0,749,0,0,0,1,0,0,0,5,0
79,67,1,1,4.78,2,1,297116,2,660000,14710.0,38,26,5,7,0.68,1224.54,0,0.0,-1,0,0,1,1,0,0,0,6,1
80,44,1,1,1.6,0,2,424440,1,312000,12627.0,13,12,1,0,0.92,1128.81,0,0.0,-1,0,0,1,0,0,0,0,4,1
81,60,1,1,4.62,0,1,305685,3,986000,10120.67,87,70,8,9,0.8,850.35,1,311271.0,827,0,1,1,0,0,0,1,4,0
82,67,1,0,3.91,2,1,207855,2,452000,7263.0,44,35,5,4,0.8,542.83,2,68489.5,570,1,1,0,0,0,0,0,3,1
83,48,1,1,3.38,1,2,139117,1,396000,14481.0,36,28,4,4,0.78,1190.14,1,51258.0,1022,0,0,1,0,0,0,0,4,0
84,41,1,0,4.93,2,1,225292,1,312000,12797.0,37,30,6,1,0.81,1064.91,1,25174.0,737,0,0,1,0,0,0,0,4,0
85,61,0,0,4.14,1,3,31123,3,995000,11584.33,52,43,4,5,0.83,1069.34,3,95476.0,685,1,1,0,1,0,0,0,3,0
86,23,1,1,0.91,1,1,141476,2,324000,8438.0,38,30,5,3,0.79,682.69,0,0.0,-1,0,1,1,0,0,0,0,5,1
87,55,0,1,2.23,1,2,375389,2,560000,11586.0,38,31,4,3,0.82,936.39,2,67251.0,571,1,0,0,0,0,0,0,2,1
88,42,1,1,2.02,2,2,83047,1,480000,8643.0,25,18,3,4,0.72,736.56,0,0.0,-1,1,0,0,0,0,0,0,2,0
89,60,0,1,3.39,0,3,34250,1,320000,9887.0,21,16,2,3,0.76,804.3,0,0.0,-1,1,0,0,0,0,0,0,4,1
90,32,1,0,3.89,3,4,232127,1,410000,7522.0,13,8,2,3,0.62,646.05,0,0.0,-1,1,0,0,0,0,0,0,5,0
91,68,0,0,2.56,1,4,176307,1,240000,11440.0,25,21,4,0,0.84,960.01,0,0.0,-1,1,0,0,0,0,0,0,4,0
92,67,0,0,0.77,1,1,182739,1,630000,12140.0,20,17,1,2,0.85,925.36,1,81767.0,497,0,0,0,1,0,0,0,3,0
